
## Attributes

| Attribute Name            | Console Command    | 
|:-------------------------:|:------------------:|
| Blades                | teach Blades <int> |
| Firearms              | teach Blades <int> |
| Toughness             | teach Blades <int> |
| Cunning               | teach Blades <int> |
| Voodoo                | teach Blades <int> |


Replace <int> with an integer value of 1-10. This will set the base level of the attribute (before bonuses from skills, items, potions, etc are applied).

Note that this can be used to both increase as well as decrease attributes.

---

## Skills / Perks

TO change these values using the console you can do



| Min Attr Level | Skill Name           | Console Command                      | Cost | Skill Requirements  | Trainers                   |
|:--------------:|:--------------------:|:------------------------------------:|:---:-|:-------------------:|:--------------------------:|
| Blades 1       | Parry                | teach PerkBladesCounterParade        | 1000 | ---                 | Severin, Roquefort, Curtis |
| Blades 1       | Slashing Weapons I   | teach PerkBladesSlashingPlus5        | 500  | ---                 | Curtis |
| Blades 2       | Piercing Weapons I   | teach PerkBladesPiercingPlus5        | 500  | ---                 | Severin, Roquefort |
| Blades 2       | Powerful Attack      | teach PerkBladesPowerfulAttack       | 1000 | ---                 | Severin, Roquefort, Curtis |
| Blades 3       | Throwing Weapons I   | teach PerkBladesDaggerPlus5          | 500  | ---                 | |
| Blades 4       | Riposte              | teach PerkBladesCounterAttack        | 1000 | Parry               | Severin, Roquefort, Curtis |
| Blades 4       | Slashing Weapons II  | teach PerkBladesSlashingPlus10       | 1000 | Slashing Weapons I  | Curtis |
| Blades 5       | Piercing Weapons II  | teach PerkBladesPiercingPlus10       | 1000 | Piercing Weapons I  | Severin, Roquefort |
| Blades 6       | Forging              | teach PerkBladesBlacksmith           | 1000 | ---                 | Stone |
| Blades 6       | Throwing Weapons II  | teach PerkBladesDaggerPlus10         | 1000 | Throwing Weapons I  | |
| Blades 7       | Slashing Weapons III | teach PerkBladesSlashingPlus15       | 1500 | Slashing Weapons II | |
| Blades 8       | Piercing Weapons III | teach PerkBladesPiercingPlus15       | 1500 | Piercing Weapons II | |
| Blades 8       | Powerful Riposte     | teach PerkBladesPowerfulCounter      | 1000 | Riposte             | Severin, Roquefort, Curtis |
| Blades 9       | Throwing Weapons III | teach PerkBladesDaggerPlus15         | 1500 | Throwing Weapons II | |
| Blades 10      | Swordmaster          | teach PerkBladesSwordmaster          | 2000 | ---                 | |
| -------------- | -------------------- | ------------------------------------ | ---- |-------------------- |-------------------- |
